city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
Menlo Park,R-E,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-E-S,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-1-S(FG),http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-1-S(FG),http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-1-U,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-2,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-3,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-3-A,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-3-C,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-4,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-4-S,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
Menlo Park,R-L-U,http://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,unknown,No information.,permited,"Chickens, hares, horses, guinea pigs, and rabbits allowed with permits.",unknown,No information.
