city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
San Mateo County,R-1,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,"For parcels greater than 2,500 sq ft, no more than 6 chickens or ducks, roosters prohibited. Parcels greater than 7,500 sq ft, no more than 10 chickens or ducks, roosters prohibited.",permitted,"Crop, tree farming, and truck gardening permitted."
San Mateo County,R-2,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,"For parcels greater than 2,500 sq ft, no more than 6 chickens or ducks, roosters prohibited. Parcels greater than 7,500 sq ft, no more than 10 chickens or ducks, roosters prohibited.",permitted,"Crop, tree farming, and truck gardening permitted."
San Mateo County,R-E,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,Chickens and ducks allowed.,permitted,"Crop, tree farming, and truck gardening permitted. Nurseries and greenhouses used only for cultivating plants not for sale permitted."
San Mateo County,R-1/CCP,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,"Cows, sheep, pigs, goats, chickens, turkeys, ducks, geese allowed.",unknown,No information.
San Mateo County,R-3,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,"For parcels greater than 2,500 sq ft, no more than 6 chickens or ducks, roosters prohibited. Parcels greater than 7,500 sq ft, no more than 10 chickens or ducks, roosters prohibited.",permitted,"Crop, tree farming, and truck gardening"
San Mateo County,R-3-A,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,unknown,No information.,unknown,No information.
San Mateo County,PC,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,not permitted,"No exotic animals, horses, livestock or poultry.",unknown,No information.
San Mateo County,S,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,unknown,No information.,unknown,No information.
San Mateo County,CD,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,unknown,No information.,permitted,Harvesting of all crops including kelp permitted
San Mateo County,DR,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,unknown,No information.,unknown,No information.
San Mateo County,RH,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,No more than 4 animals.,unknown,No information.
San Mateo County,RM-CZ,http://planning.smcgov.org/sites/planning.smcgov.org/files/2012_ZoneRegs%5BFINAL%5D_0.pdf,unknown,No information.,permitted,"Livestock and grazing, dairies, cows, sheep, pigs, goats, chickens, turkeys, ducks, geese permitted",permitted,"Nursuries and greenhouses, aquaculture permitted."
